nazwa-zmienna,id-zmienna,id-przekroj,id-okres
Obecne dokonywanie ważnych zakupów,471,16,257
Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych,307,485,273
Źródła finansowania środków obrotowych w działalności handlowej - środki własne,196,796,249
Pozycja przedsiębiorstwa wobec konkurencji na rynkach zagranicznych wewnątrz Unii Europejskiej - przetwórstwo przemysłowe,161,796,253
Turyści korzystający z turystycznych obiektów noclegowych,93,1283,271
Ceny producentów wyrobów spożywczych,313,655,248
Saldo obrotów towarowych wg kraju pochodzenia,223,1194,247
Przeciętna miesięczna emerytura i renta brutto z pozarolniczego systemu ubezpieczeń społecznych,287,544,253
Dzieci w rodzinnej pieczy zastępczej,260,712,282
Saldo obrotów towarowych wg kraju pochodzenia,223,1116,252
Saldo obrotów towarowych wg kraju wysyłki,183,1243,249
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,960,252
Przewidywana sprzedaż,169,804,256
Przyrost naturalny,18,16,256
Wskaźniki cen produkcji sprzedanej przemysłu,314,657,254
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,16,269
Mieszkania, których budowę rozpoczęto,383,16,259
Przewidywana sytuacja finansowa przedsiębiorstwa,170,776,257
Import towarów wg kraju pochodzenia,221,1246,256
Wyprawy ratunkowe ratowników górskich,101,168,282
Sprzedaż detaliczna towarów,109,849,255
Bieżący portfel zamówień na rynku krajowym - budownictwo,146,796,252
Eksport towarów,220,1199,250
